timestamp,admin,query_type,table,rows_returned,join_count,where_count,execution_time_sec,table_sensitivity,is_pii_table,hour_of_day,day_of_week,is_attack,attack_type
2024-01-01 07:02:17,admin_bob,UPDATE,transactions,323,0,2,0.88,CRITICAL,True,7,0,False,
2024-01-01 07:39:38,admin_bob,DELETE,transactions,441,0,1,0.787,CRITICAL,True,7,0,False,
2024-01-01 07:55:16,admin_bob,SELECT,orders,54,0,3,0.981,MEDIUM,False,7,0,False,
2024-01-01 08:00:47,admin_bob,JOIN,transactions,9,0,1,0.429,CRITICAL,True,8,0,False,
2024-01-01 08:00:56,admin_alice,SELECT,customers,754,0,1,1.056,CRITICAL,True,8,0,False,
2024-01-01 08:24:06,admin_alice,SELECT,orders,148,0,1,0.587,MEDIUM,False,8,0,False,
2024-01-01 08:34:36,admin_alice,UPDATE,audit_logs,227,0,1,0.574,MEDIUM,False,8,0,False,
2024-01-01 08:58:04,admin_alice,JOIN,orders,210,1,2,1.548,MEDIUM,False,8,0,False,
2024-01-01 09:00:20,admin_bob,SELECT,customers,197,0,3,0.983,CRITICAL,True,9,0,False,
2024-01-01 09:04:40,admin_charlie,SELECT,customers,78,0,3,0.754,CRITICAL,True,9,0,False,
2024-01-01 09:15:22,admin_bob,SELECT,transactions,272,0,2,1.279,CRITICAL,True,9,0,False,
2024-01-01 09:15:40,admin_bob,SELECT,config,277,0,3,0.41,HIGH,False,9,0,False,
2024-01-01 09:16:32,admin_bob,UPDATE,config,375,0,2,1.106,HIGH,False,9,0,False,
2024-01-01 09:19:23,admin_bob,SELECT,orders,75,0,1,0.277,MEDIUM,False,9,0,False,
2024-01-01 09:25:43,admin_alice,JOIN,config,872,1,2,1.983,HIGH,False,9,0,False,
2024-01-01 09:32:47,admin_alice,SELECT,customers,108,0,2,0.76,CRITICAL,True,9,0,False,
2024-01-01 09:42:36,admin_bob,UPDATE,transactions,43,0,1,0.293,CRITICAL,True,9,0,False,
2024-01-01 09:59:19,admin_charlie,SELECT,audit_logs,194,0,2,0.772,MEDIUM,False,9,0,False,
2024-01-01 10:18:25,admin_bob,UPDATE,transactions,199,0,1,0.627,CRITICAL,True,10,0,False,
2024-01-01 10:18:57,admin_bob,UPDATE,customers,396,0,1,0.669,CRITICAL,True,10,0,False,
2024-01-01 10:29:14,admin_charlie,SELECT,orders,166,0,2,0.569,MEDIUM,False,10,0,False,
2024-01-01 10:29:46,admin_bob,UPDATE,transactions,269,0,2,0.734,CRITICAL,True,10,0,False,
2024-01-01 10:30:09,admin_bob,UPDATE,audit_logs,325,0,1,0.587,MEDIUM,False,10,0,False,
2024-01-01 10:32:29,admin_bob,UPDATE,config,325,0,2,0.973,HIGH,False,10,0,False,
2024-01-01 10:53:53,admin_charlie,INSERT,products,54,0,5,0.895,LOW,False,10,0,False,
2024-01-01 10:57:52,admin_bob,SELECT,orders,217,0,1,0.525,MEDIUM,False,10,0,False,
2024-01-01 10:58:20,admin_bob,INSERT,audit_logs,39,0,1,0.372,MEDIUM,False,10,0,False,
2024-01-01 11:08:23,admin_bob,INSERT,orders,466,0,1,0.88,MEDIUM,False,11,0,False,
2024-01-01 11:20:04,admin_charlie,SELECT,orders,149,0,3,0.728,MEDIUM,False,11,0,False,
2024-01-01 11:28:14,admin_alice,SELECT,orders,131,0,1,0.419,MEDIUM,False,11,0,False,
2024-01-01 11:29:10,admin_alice,SELECT,customers,240,0,2,0.528,CRITICAL,True,11,0,False,
2024-01-01 11:29:36,admin_alice,SELECT,orders,550,0,2,1.353,MEDIUM,False,11,0,False,
2024-01-01 11:30:34,admin_bob,JOIN,audit_logs,469,0,3,1.429,MEDIUM,False,11,0,False,
2024-01-01 11:31:32,admin_bob,UPDATE,audit_logs,172,0,2,0.902,MEDIUM,False,11,0,False,
2024-01-01 11:44:12,admin_charlie,SELECT,transactions,92,0,4,1.091,CRITICAL,True,11,0,False,
2024-01-01 11:59:47,admin_bob,SELECT,audit_logs,17,0,2,0.498,MEDIUM,False,11,0,False,
2024-01-01 12:06:45,admin_bob,INSERT,config,283,0,2,0.793,HIGH,False,12,0,False,
2024-01-01 12:18:07,admin_bob,SELECT,transactions,145,0,3,0.547,CRITICAL,True,12,0,False,
2024-01-01 12:22:01,admin_bob,SELECT,config,273,0,1,0.434,HIGH,False,12,0,False,
2024-01-01 12:35:39,admin_alice,SELECT,transactions,353,0,2,0.615,CRITICAL,True,12,0,False,
2024-01-01 12:42:59,admin_bob,SELECT,orders,492,0,1,1.08,MEDIUM,False,12,0,False,
2024-01-01 13:01:59,admin_alice,SELECT,transactions,262,0,2,0.767,CRITICAL,True,13,0,False,
2024-01-01 13:24:44,admin_bob,INSERT,customers,275,0,1,0.83,CRITICAL,True,13,0,False,
2024-01-01 13:29:29,admin_charlie,JOIN,customers,47,4,4,3.472,CRITICAL,True,13,0,False,
2024-01-01 13:31:23,admin_bob,DELETE,transactions,369,0,3,1.334,CRITICAL,True,13,0,False,
2024-01-01 13:36:09,admin_charlie,INSERT,orders,110,0,2,0.645,MEDIUM,False,13,0,False,
2024-01-01 14:26:08,admin_alice,SELECT,customers,700,0,1,0.982,CRITICAL,True,14,0,False,
