timestamp,admin,query_type,table,rows_returned,join_count,where_count,execution_time_sec,table_sensitivity,is_pii_table,hour_of_day,day_of_week,is_attack,attack_type
2024-01-29 14:00:00,admin_alice,SELECT,customers,50000,0,0,3.66,CRITICAL,True,14,0,True,reconnaissance
2024-01-29 14:02:00,admin_alice,SELECT,transactions,500000,0,0,2.222,CRITICAL,True,14,0,True,reconnaissance
2024-01-29 14:04:00,admin_alice,SELECT,products,5000,0,0,2.858,LOW,False,14,0,True,reconnaissance
2024-01-29 14:06:00,admin_alice,SELECT,orders,100000,0,0,3.1,MEDIUM,False,14,0,True,reconnaissance
2024-01-29 14:08:00,admin_alice,SELECT,audit_logs,1000000,0,0,3.865,MEDIUM,False,14,0,True,reconnaissance
2024-01-29 14:10:00,admin_alice,SELECT,config,500,0,0,2.195,HIGH,False,14,0,True,reconnaissance
2024-01-29 20:00:00,admin_bob,SELECT,transactions,5967,0,1,7.853,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:05:00,admin_bob,SELECT,transactions,6755,0,1,12.054,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:10:00,admin_bob,SELECT,transactions,7968,0,1,12.557,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:15:00,admin_bob,SELECT,transactions,7795,0,1,8.1,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:20:00,admin_bob,SELECT,transactions,6659,0,1,10.751,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:25:00,admin_bob,SELECT,transactions,9300,0,1,9.444,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:30:00,admin_bob,SELECT,transactions,9628,0,1,8.119,CRITICAL,True,20,0,True,mass_extraction
2024-01-29 20:35:00,admin_bob,SELECT,transactions,9346,0,1,6.206,CRITICAL,True,20,0,True,mass_extraction
2024-01-30 03:00:00,admin_charlie,SELECT,config,2836,0,2,1.924,HIGH,False,3,1,True,credential_theft
2024-01-30 03:10:00,admin_charlie,SELECT,audit_logs,1484,0,1,0.509,MEDIUM,False,3,1,True,credential_theft
2024-01-30 03:20:00,admin_charlie,SELECT,transactions,4599,0,2,0.841,CRITICAL,True,3,1,True,credential_theft
2024-01-30 03:30:00,admin_charlie,SELECT,config,1729,0,1,2.326,HIGH,False,3,1,True,credential_theft
2024-01-30 03:40:00,admin_charlie,SELECT,transactions,2324,0,1,0.784,CRITICAL,True,3,1,True,credential_theft
2024-01-30 03:50:00,admin_charlie,SELECT,transactions,4415,0,1,2.956,CRITICAL,True,3,1,True,credential_theft
2024-01-30 04:00:00,admin_charlie,SELECT,audit_logs,4697,0,1,2.082,MEDIUM,False,4,1,True,credential_theft
2024-01-30 04:10:00,admin_charlie,SELECT,config,897,0,1,0.959,HIGH,False,4,1,True,credential_theft
2024-01-30 04:20:00,admin_charlie,SELECT,config,1433,0,1,2.802,HIGH,False,4,1,True,credential_theft
2024-01-30 04:30:00,admin_charlie,SELECT,transactions,3442,0,2,1.389,CRITICAL,True,4,1,True,credential_theft
2024-01-30 04:40:00,admin_charlie,SELECT,audit_logs,1564,0,1,1.66,MEDIUM,False,4,1,True,credential_theft
2024-01-30 04:50:00,admin_charlie,SELECT,config,113,0,1,2.581,HIGH,False,4,1,True,credential_theft
