date,queries_per_day,rows_returned_mean,rows_returned_max,rows_returned_std,execution_time_sec_mean,execution_time_sec_max,join_count_mean,join_count_max,where_count_mean,where_count_max,query_complexity_mean,sensitivity_score_mean,is_pii_table_mean,is_business_hours_mean,is_late_night_mean,is_weekend_mean,qtype_SELECT_sum,qtype_INSERT_sum,qtype_UPDATE_sum,qtype_DELETE_sum,qtype_JOIN_sum,is_large_query_sum,rows_per_second_mean,admin
2024-01-01,14,107.64285714285714,194,53.65933447056696,1.2697857142857143,3.472,0.7142857142857143,4,3.357142857142857,5,4.785714285714286,2.9285714285714284,0.5,0.8571428571428571,0.0,0.0,8,2,0,0,4,0,116.45202896260687,admin_charlie
2024-01-02,21,82.9047619047619,190,47.41508701025947,1.252190476190476,4.213,0.6666666666666666,4,3.2857142857142856,5,4.619047619047619,1.8095238095238095,0.14285714285714285,0.9523809523809523,0.0,0.0,12,3,1,1,4,0,98.3296468381516,admin_charlie
2024-01-03,21,108.95238095238095,193,55.06675602437117,1.0063333333333333,2.72,0.42857142857142855,4,3.0476190476190474,5,3.9047619047619047,2.0952380952380953,0.2857142857142857,0.9047619047619048,0.0,0.0,16,2,0,0,3,0,136.6885498429622,admin_charlie
2024-01-04,15,92.0,198,58.08983191083077,1.3822666666666668,2.784,1.2666666666666666,4,3.2,5,5.733333333333333,1.7333333333333334,0.13333333333333333,0.9333333333333333,0.0,0.0,7,2,1,0,5,0,77.01913973667347,admin_charlie
2024-01-05,19,102.26315789473684,169,48.51556692359813,1.1459473684210526,2.793,0.5789473684210527,4,3.473684210526316,5,4.631578947368421,2.526315789473684,0.3684210526315789,0.8947368421052632,0.0,0.0,10,1,3,1,4,0,114.81630905832078,admin_charlie
2024-01-06,2,116.0,148,45.254833995939045,0.6855,0.731,0.0,0,2.5,3,2.5,2.0,0.0,0.5,0.0,1.0,2,0,0,0,0,0,166.61551707969957,admin_charlie
2024-01-07,5,86.2,168,51.741665995597785,0.9082000000000001,1.162,0.0,0,3.2,4,3.2,2.4,0.2,1.0,0.0,1.0,5,0,0,0,0,0,96.08997692408815,admin_charlie
2024-01-08,21,96.28571428571429,182,45.58524197275129,1.211047619047619,3.048,0.5238095238095238,4,3.4761904761904763,5,4.523809523809524,2.857142857142857,0.5238095238095238,0.9047619047619048,0.0,0.0,12,2,3,0,4,0,92.15947675447477,admin_charlie
2024-01-09,22,110.04545454545455,195,55.223767547719,1.2392727272727273,3.664,0.45454545454545453,4,3.6818181818181817,5,4.590909090909091,2.590909090909091,0.36363636363636365,0.8181818181818182,0.0,0.0,16,2,1,0,3,0,134.94272050969755,admin_charlie
2024-01-10,20,103.75,187,51.704499447900034,1.0717,2.397,0.25,3,3.2,5,3.7,2.5,0.3,0.9,0.0,0.0,15,2,0,1,2,0,130.83846990976082,admin_charlie
2024-01-11,29,87.3103448275862,186,57.89899052184136,1.0752758620689655,3.493,0.5172413793103449,4,3.5172413793103448,5,4.551724137931035,2.1724137931034484,0.20689655172413793,0.9655172413793104,0.0,0.0,16,7,1,0,5,0,130.53104062870275,admin_charlie
2024-01-12,19,106.26315789473684,199,58.83011521440657,1.6657368421052632,4.496,1.0526315789473684,4,4.105263157894737,5,6.2105263157894735,2.3684210526315788,0.3684210526315789,0.9473684210526315,0.0,0.0,9,1,1,2,6,0,89.8150916628638,admin_charlie
2024-01-13,4,69.75,136,49.80210838910337,1.08525,1.539,0.5,2,3.0,4,4.0,2.5,0.25,0.5,0.0,1.0,3,0,0,0,1,0,88.96827826073476,admin_charlie
2024-01-14,3,65.66666666666667,104,33.38163167571851,0.7493333333333334,0.81,0.0,0,4.0,5,4.0,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.0,1.0,2,1,0,0,0,0,91.85169251100005,admin_charlie
2024-01-15,12,90.0,166,47.374715158654375,1.98475,3.526,1.5833333333333333,4,3.9166666666666665,5,7.083333333333333,2.25,0.3333333333333333,0.75,0.0,0.0,4,0,2,0,6,0,58.29439980093351,admin_charlie
2024-01-16,22,113.77272727272727,183,53.31035083821439,0.9942272727272727,2.526,0.5,4,3.727272727272727,5,4.7272727272727275,2.272727272727273,0.3181818181818182,0.9545454545454546,0.0,0.0,15,1,3,0,3,0,187.20269209677824,admin_charlie
2024-01-17,11,92.0909090909091,185,62.214876911321696,1.0024545454545455,2.006,0.36363636363636365,2,3.4545454545454546,5,4.181818181818182,2.8181818181818183,0.45454545454545453,0.8181818181818182,0.0,0.0,6,3,0,0,2,0,110.1209803901776,admin_charlie
2024-01-18,18,100.83333333333333,183,62.814619879357984,1.0817222222222223,2.102,0.3333333333333333,2,3.3333333333333335,5,4.0,2.3333333333333335,0.2777777777777778,0.9444444444444444,0.0,0.0,8,6,0,1,3,0,123.33892748327266,admin_charlie
2024-01-19,22,100.04545454545455,196,58.27314767763743,0.8971363636363635,2.491,0.2727272727272727,4,3.6363636363636362,5,4.181818181818182,2.3636363636363638,0.2727272727272727,0.9545454545454546,0.0,0.0,16,0,4,0,2,0,127.8341736048912,admin_charlie
2024-01-20,4,88.5,143,36.8284310463171,0.99475,1.964,1.0,4,2.75,4,4.75,2.75,0.5,1.0,0.0,1.0,3,0,0,0,1,0,112.98349018726839,admin_charlie
2024-01-21,5,73.4,198,73.56493730031991,0.6632,0.76,0.0,0,2.0,2,2.0,2.2,0.2,1.0,0.0,1.0,3,2,0,0,0,0,102.99501000729097,admin_charlie
2024-01-22,23,90.26086956521739,173,56.472211502089756,1.1893478260869565,3.61,0.43478260869565216,3,3.4347826086956523,5,4.304347826086956,2.3043478260869565,0.30434782608695654,0.9130434782608695,0.0,0.0,12,5,1,1,4,0,112.50370160848651,admin_charlie
2024-01-23,17,113.94117647058823,195,60.95743452220911,1.3145882352941176,2.724,0.5882352941176471,3,3.2941176470588234,5,4.470588235294118,2.5294117647058822,0.47058823529411764,0.9411764705882353,0.0,0.0,10,2,1,0,4,0,132.20110642961157,admin_charlie
2024-01-24,24,83.375,174,49.79244966336021,1.0292083333333333,3.662,0.3333333333333333,4,3.4166666666666665,5,4.083333333333333,2.4166666666666665,0.375,0.9583333333333334,0.0,0.0,20,0,0,1,3,0,96.39607123953284,admin_charlie
2024-01-25,12,74.0,161,46.987425784119964,1.1857499999999999,3.381,0.3333333333333333,4,3.4166666666666665,5,4.083333333333333,2.1666666666666665,0.25,0.9166666666666666,0.0,0.0,7,1,1,2,1,0,87.37739153322322,admin_charlie
2024-01-26,11,93.54545454545455,160,56.04170524950795,1.2521818181818183,2.805,1.0909090909090908,4,3.1818181818181817,4,5.363636363636363,3.090909090909091,0.6363636363636364,1.0,0.0,0.0,5,1,1,0,4,0,91.6364940022787,admin_charlie
2024-01-27,4,27.5,58,22.397916569776456,1.63075,4.253,0.75,3,3.0,4,4.5,2.75,0.5,0.75,0.0,1.0,3,0,0,0,1,0,24.845270192064667,admin_charlie
2024-01-28,5,75.2,133,56.73799432479086,0.9346,1.708,0.4,2,2.4,3,3.2,3.0,0.6,1.0,0.0,1.0,1,2,1,0,1,0,77.76549112523291,admin_charlie
